id,customer_id,channel,date,interaction_type
1,346,Web,2025-02-19,Feedback
2,218,Web,2024-08-30,Support
3,256,Web,2024-11-25,Inquiry
4,995,Social,2024-06-26,Inquiry
5,461,Web,2024-11-24,Feedback
6,925,Phone,2025-01-25,Upsell
7,938,Email,2024-02-19,Upsell
8,808,Phone,2024-06-15,Feedback
9,193,Web,2025-01-11,Support
10,596,Social,2025-03-28,Support
11,631,Social,2025-03-10,Upsell
12,809,Social,2025-02-04,Inquiry
13,962,Web,2025-03-03,Upsell
14,222,Social,2024-07-26,Support
15,806,Web,2025-04-20,Support
16,5,Phone,2024-12-11,Upsell
17,338,Phone,2024-02-28,Support
18,830,Chat,2024-10-24,Feedback
19,187,Web,2024-08-31,Support
20,499,Chat,2024-03-31,Upsell
21,69,Chat,2024-05-27,Feedback
22,653,Chat,2025-05-11,Feedback
23,720,Web,2024-08-31,Inquiry
24,141,Phone,2024-02-19,Feedback
25,109,Social,2024-03-29,Inquiry
26,336,Email,2024-02-27,Inquiry
27,409,Social,2024-06-17,Upsell
28,486,Chat,2024-03-24,Feedback
29,641,Phone,2024-12-02,Support
30,246,Phone,2024-12-25,Support
31,599,Social,2024-11-02,Upsell
32,518,Chat,2024-10-01,Support
33,284,Social,2025-03-08,Support
34,530,Social,2024-08-01,Feedback
35,946,Phone,2025-03-30,Upsell
36,631,Social,2024-01-02,Feedback
37,155,Social,2024-04-15,Inquiry
38,72,Phone,2025-01-28,Feedback
39,236,Web,2025-06-17,Support
40,199,Web,2025-05-12,Support
41,227,Web,2024-01-30,Support
42,940,Email,2024-06-20,Inquiry
43,977,Phone,2024-11-13,Support
44,612,Chat,2025-02-25,Support
45,819,Social,2024-06-27,Support
46,478,Web,2024-12-04,Inquiry
47,914,Phone,2024-07-29,Feedback
48,718,Social,2025-03-20,Feedback
49,280,Social,2024-10-21,Upsell
50,92,Web,2024-05-19,Upsell
51,662,Web,2025-04-24,Feedback
52,900,Email,2025-02-03,Upsell
53,553,Social,2024-05-01,Support
54,777,Email,2024-05-22,Inquiry
55,176,Web,2024-09-26,Inquiry
56,482,Web,2024-04-28,Upsell
57,398,Phone,2025-03-25,Inquiry
58,549,Web,2024-05-11,Feedback
59,366,Social,2024-11-13,Inquiry
60,603,Social,2024-10-07,Support
61,381,Email,2024-10-14,Inquiry
62,717,Email,2025-03-28,Upsell
63,126,Social,2025-01-05,Support
64,551,Chat,2024-04-01,Support
65,107,Social,2025-02-27,Inquiry
66,445,Phone,2024-11-21,Inquiry
67,435,Social,2024-07-12,Feedback
68,608,Web,2025-03-26,Feedback
69,225,Phone,2025-01-29,Support
70,706,Social,2024-05-04,Support
71,729,Phone,2025-06-09,Feedback
72,736,Chat,2025-01-12,Feedback
73,36,Phone,2025-06-04,Support
74,475,Email,2024-11-17,Support
75,24,Email,2024-05-05,Inquiry
76,639,Chat,2024-08-07,Feedback
77,144,Web,2024-12-01,Inquiry
78,29,Phone,2024-02-15,Upsell
79,280,Phone,2024-06-06,Support
80,324,Phone,2025-05-14,Support
81,119,Phone,2024-07-29,Feedback
82,931,Web,2025-02-05,Inquiry
83,652,Chat,2024-07-06,Support
84,82,Chat,2024-04-17,Feedback
85,440,Web,2024-09-07,Inquiry
86,914,Web,2024-05-01,Inquiry
87,785,Chat,2024-06-25,Support
88,208,Chat,2024-11-25,Upsell
89,94,Email,2025-05-21,Feedback
90,473,Chat,2025-03-07,Support
91,195,Web,2024-10-10,Inquiry
92,422,Web,2024-06-25,Support
93,495,Email,2024-08-03,Support
94,601,Social,2024-11-22,Inquiry
95,852,Web,2024-10-22,Support
96,532,Social,2024-08-11,Support
97,39,Email,2025-04-07,Inquiry
98,67,Chat,2025-03-07,Support
99,480,Phone,2024-08-20,Support
100,453,Email,2025-04-26,Upsell
101,881,Web,2025-06-15,Support
102,375,Email,2025-03-16,Upsell
103,358,Social,2025-04-10,Support
104,950,Web,2024-05-11,Feedback
105,524,Web,2024-03-10,Inquiry
106,6,Email,2025-04-12,Support
107,838,Social,2024-12-21,Inquiry
108,368,Social,2024-10-06,Support
109,831,Social,2024-12-05,Upsell
110,431,Phone,2025-02-21,Support
111,536,Email,2025-01-19,Support
112,100,Web,2024-09-21,Feedback
113,572,Email,2024-06-28,Support
114,670,Phone,2024-09-02,Feedback
115,495,Email,2025-02-01,Inquiry
116,152,Social,2024-05-15,Inquiry
117,452,Social,2025-05-12,Feedback
118,251,Email,2024-12-30,Support
119,863,Web,2024-05-11,Support
120,172,Phone,2024-11-15,Inquiry
121,321,Web,2024-08-08,Support
122,110,Phone,2024-08-28,Feedback
123,177,Phone,2024-09-02,Upsell
124,725,Email,2024-08-04,Feedback
125,944,Email,2024-09-21,Support
126,145,Web,2024-03-09,Upsell
127,936,Email,2024-07-13,Upsell
128,192,Chat,2024-05-10,Support
129,297,Phone,2024-01-30,Feedback
130,656,Chat,2024-05-05,Upsell
131,278,Chat,2024-11-01,Feedback
132,660,Web,2025-01-15,Upsell
133,83,Chat,2024-03-22,Feedback
134,6,Web,2024-01-03,Support
135,46,Chat,2025-03-01,Feedback
136,486,Web,2024-08-27,Feedback
137,116,Email,2024-11-15,Support
138,3,Web,2024-12-07,Feedback
139,475,Phone,2024-12-26,Support
140,68,Chat,2024-11-15,Upsell
141,1,Email,2024-02-04,Support
142,3,Phone,2024-08-17,Inquiry
143,611,Email,2024-09-19,Inquiry
144,432,Phone,2024-02-12,Upsell
145,112,Web,2024-09-30,Support
146,986,Phone,2024-11-08,Feedback
147,138,Email,2025-03-10,Support
148,929,Social,2024-03-06,Inquiry
149,910,Phone,2025-04-11,Inquiry
150,586,Email,2025-04-28,Upsell
151,482,Chat,2025-05-07,Upsell
152,998,Web,2024-07-12,Feedback
153,718,Email,2024-07-04,Inquiry
154,108,Email,2024-06-11,Inquiry
155,675,Social,2025-03-29,Support
156,727,Web,2024-04-23,Feedback
157,936,Phone,2024-11-23,Support
158,50,Chat,2025-04-14,Feedback
159,78,Phone,2025-04-07,Upsell
160,786,Email,2025-04-16,Support
161,250,Chat,2025-03-25,Support
162,676,Phone,2024-02-01,Support
163,394,Chat,2024-05-30,Inquiry
164,16,Phone,2025-01-08,Inquiry
165,923,Chat,2025-02-15,Support
166,66,Chat,2024-02-13,Feedback
