id,customer_id,amount,product,order_date
1,732,1861.74,Widget A,2024-05-19
2,197,505.4,Gadget Y,2025-04-21
3,576,250.66,Gadget Y,2024-02-20
4,269,1360.45,Gadget Z,2024-01-03
5,736,1820.36,Widget B,2024-01-14
6,813,1843.31,Gadget Z,2024-02-26
7,675,1794.97,Widget A,2024-12-23
8,824,1457.0,Gadget Y,2024-10-21
9,483,793.17,Gadget Z,2024-04-26
10,253,350.46,Gadget Z,2024-07-09
11,395,1935.51,Gadget Z,2024-07-31
12,103,832.84,Widget B,2025-01-11
13,374,127.17,Widget A,2024-07-01
14,261,1254.93,Gadget Y,2025-01-09
15,244,785.34,Gadget Y,2024-03-06
16,633,1462.56,Widget B,2024-10-05
17,109,561.19,Service Plus,2024-11-06
18,912,439.09,Gadget X,2025-01-15
19,850,1318.32,Service Pro,2024-01-25
20,23,452.79,Widget C,2024-09-15
21,185,1646.62,Gadget Z,2024-11-04
22,942,1742.19,Widget B,2024-06-11
23,12,1836.1,Widget C,2025-05-22
24,209,431.98,Widget A,2025-06-28
25,154,189.75,Gadget Y,2025-05-06
26,197,442.0,Widget B,2025-03-15
27,666,1172.05,Widget A,2024-05-08
28,805,852.38,Service Pro,2025-06-21
29,875,1154.24,Service Plus,2025-05-20
30,131,1604.28,Service Plus,2024-07-11
31,496,963.6,Widget B,2025-01-01
32,12,1595.15,Gadget Z,2024-07-02
33,646,1416.59,Widget C,2024-11-03
34,536,362.37,Service Plus,2024-02-01
35,951,377.95,Widget A,2024-03-22
36,444,1584.13,Widget B,2025-02-14
37,27,1791.16,Widget C,2024-12-31
38,217,512.75,Widget A,2025-06-07
39,439,459.89,Gadget Z,2025-02-17
40,755,79.38,Service Pro,2024-11-03
41,514,331.86,Service Pro,2024-12-22
42,441,1924.1,Widget B,2025-06-26
43,384,38.49,Gadget Y,2024-04-21
44,117,1128.08,Service Plus,2024-03-26
45,324,656.9,Gadget Y,2024-07-12
46,539,1652.69,Gadget Z,2024-10-01
47,622,1698.31,Widget B,2025-05-24
48,320,679.34,Gadget X,2024-05-28
49,445,41.98,Gadget Y,2024-05-23
50,977,1124.87,Gadget Y,2025-06-21
51,679,1092.27,Gadget Z,2025-03-16
52,50,1599.56,Service Pro,2024-04-06
53,317,1751.3,Service Plus,2024-03-12
54,760,683.75,Widget A,2024-06-28
55,709,1831.08,Widget C,2024-08-13
56,604,901.03,Widget B,2024-05-11
57,207,1041.72,Gadget Z,2024-11-27
58,259,870.18,Service Pro,2024-05-01
59,733,1673.82,Gadget Z,2025-01-25
60,688,589.57,Service Pro,2025-02-06
61,614,143.2,Gadget Y,2024-10-07
62,795,1329.54,Widget A,2024-10-19
63,626,1457.2,Widget A,2025-05-12
64,600,734.44,Gadget Y,2024-05-22
65,918,132.51,Service Pro,2025-01-27
